,artistName,trackName,msPlayed,dayOfWeek,month,dayTime
0,Lana Del Rey,Venice Bitch,2.9266666666666667,tuesday,automn,afternoon
1,Lana Del Rey,Born To Die,4.756666666666667,wednesday,automn,morning
2,Lana Del Rey,Born To Die,4.756666666666667,wednesday,automn,morning
3,Lana Del Rey,Born To Die,4.756666666666667,wednesday,automn,afternoon
4,Lana Del Rey,Born To Die,4.756666666666667,wednesday,automn,afternoon
5,Lana Del Rey,Born To Die,4.756666666666667,wednesday,automn,afternoon
6,Lana Del Rey,Born To Die,4.756666666666667,wednesday,automn,afternoon
7,Lana Del Rey,Born To Die,4.756666666666667,wednesday,automn,afternoon
8,Lana Del Rey,Born To Die,2.6695,wednesday,automn,afternoon
10,Birileri,...aynı yer,2.5113333333333334,thursday,automn,afternoon
13,Eivør,Let It Come,3.539,friday,automn,morning
23,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),3.0781833333333335,friday,automn,morning
25,Lana Del Rey,13 Beaches,4.92615,friday,automn,morning
26,Lana Del Rey,13 Beaches,4.92615,friday,automn,morning
27,Lana Del Rey,13 Beaches,4.92615,friday,automn,morning
28,Lana Del Rey,13 Beaches,4.92615,friday,automn,morning
29,Lana Del Rey,13 Beaches,4.92615,friday,automn,morning
30,Lana Del Rey,13 Beaches,4.92615,friday,automn,morning
31,Lana Del Rey,13 Beaches,4.92615,friday,automn,morning
32,Lana Del Rey,13 Beaches,4.92615,friday,automn,morning
33,Lana Del Rey,13 Beaches,4.92615,friday,automn,afternoon
34,Lana Del Rey,13 Beaches,4.541383333333333,friday,automn,afternoon
35,Lana Del Rey,13 Beaches,4.918233333333333,monday,automn,afternoon
36,Lana Del Rey,13 Beaches,4.92615,monday,automn,afternoon
37,Lana Del Rey,13 Beaches,4.92615,monday,automn,afternoon
38,Lana Del Rey,13 Beaches,4.92615,wednesday,automn,morning
39,Lana Del Rey,13 Beaches,4.92615,wednesday,automn,afternoon
40,Lana Del Rey,13 Beaches,4.92615,wednesday,automn,afternoon
41,Lana Del Rey,13 Beaches,4.92615,wednesday,automn,afternoon
42,Lana Del Rey,13 Beaches,4.92615,wednesday,automn,afternoon
43,Lana Del Rey,13 Beaches,4.92615,wednesday,automn,afternoon
44,Lana Del Rey,13 Beaches,4.92615,wednesday,automn,afternoon
45,Lana Del Rey,13 Beaches,4.92615,thursday,automn,morning
46,Lana Del Rey,13 Beaches,4.92615,thursday,automn,morning
47,Lana Del Rey,13 Beaches,4.92615,weekend,automn,morning
51,Lana Del Rey,Groupie Love (feat. A$AP Rocky),4.39905,tuesday,automn,morning
53,Lana Del Rey,Million Dollar Man,3.8325,tuesday,automn,afternoon
54,Lana Del Rey,West Coast,3.6337,tuesday,automn,afternoon
57,Ed Sheeran,Photograph,4.217833333333333,tuesday,automn,afternoon
59,Selena Gomez,Feel Me,2.5822,tuesday,automn,afternoon
60,Lauv,i'm so tired...,2.709783333333333,tuesday,automn,afternoon
61,Halsey,Graveyard,3.02755,tuesday,automn,afternoon
62,ZAYN,Vibez,2.7175,tuesday,automn,afternoon
63,Conan Gray,Overdrive,3.0511833333333334,tuesday,automn,afternoon
64,Halsey,Graveyard,3.0270166666666665,tuesday,automn,afternoon
65,Ed Sheeran,Photograph,4.3401,tuesday,automn,afternoon
66,Ed Sheeran,Thinking out Loud,3.3598833333333333,tuesday,automn,afternoon
73,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",5.370433333333334,thursday,automn,morning
74,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",5.370433333333334,thursday,automn,morning
76,Lana Del Rey,Summertime Sadness,4.423783333333334,thursday,automn,morning
86,Lana Del Rey,Summertime Sadness,3.046333333333333,thursday,automn,morning
89,Logic,Homicide (feat. Eminem),3.661,thursday,automn,morning
91,Imagine Dragons,Bleeding Out,3.71835,thursday,automn,morning
92,Imagine Dragons,Cool Out,3.6311166666666668,thursday,automn,morning
93,Imagine Dragons,Bullet In A Gun,3.41375,thursday,automn,morning
94,Imagine Dragons,Cha-Ching (Till We Grow Older),4.1555333333333335,thursday,automn,morning
95,Imagine Dragons,Lonely,2.662516666666667,thursday,automn,morning
96,Imagine Dragons,It's Ok,3.3729666666666667,thursday,automn,morning
97,Imagine Dragons,Demons,2.9563333333333333,thursday,automn,morning
98,Imagine Dragons,Next To Me,3.831166666666667,thursday,automn,morning
